"State","Credentials","Specialty","Opioid.Prescriber"
"AR","","Family Practice",1
"OK","D.O.","Family Practice",1
"OH","M.D.","Emergency Medicine",1
"SD","M.D.","Psychiatry",0
"NY","LPN, RN, ANP","Nurse Practitioner",1
"CA","PA","Physician Assistant",1
"AZ","D.O.","Internal Medicine",1
"MD","DPM","Podiatry",1
"MD","","Internal Medicine",1
"OH","D.D.S.","Dentist",0
"PA","MD","Medical Oncology",1
"PA","MD","Family Practice",1
"CA","M.D.","Psychiatry",0
"OH","D.D.S.","Dentist",0
"TX","MD","Obstetrics/Gynecology",0
"AR","M. D.","Student in an Organized Health Care Education/Training Program",0
"TX","DDS","Dentist",0
"NM","MD","Medical Oncology",1
"MA","NP-C","Nurse Practitioner",0
"CA","MD","Vascular Surgery",0
"FL","ARNP","Nurse Practitioner",0
"CA","M.D.","Psychiatry",0
"NY","P.A.","Physician Assistant",1
"MI","MD","Physical Medicine and Rehabilitation",1
"TX","MD","Cardiac Electrophysiology",1
"MA","M.D.","Orthopaedic Surgery",0
"NJ","M.D.","Neurology",1
"OK","M.D.","Urology",1
"PA","MD","Anesthesiology",0
"OK","MD","Emergency Medicine",1
"CA","M.D.","Emergency Medicine",1
"MO","MD","Internal Medicine",0
"FL","M.D.","Allergy/Immunology",0
"NC","MD","Nephrology",1
"MN","MD","Internal Medicine",1
"AL","M.D.","Ophthalmology",0
"PA","DMD","Dentist",0
"TX","M.D.","Emergency Medicine",1
"FL","M.D.","Internal Medicine",1
"IA","M.D.","Diagnostic Radiology",0
"CA","M.D.","Obstetrics/Gynecology",0
"MD","","Student in an Organized Health Care Education/Training Program",0
"TX","PA-C","Physician Assistant",0
"CA","DO","Internal Medicine",1
"FL","NP-C","Nurse Practitioner",1
"TN","FNP-BC","Nurse Practitioner",1
"NY","MD","Orthopedic Surgery",0
"CA","N.P.","Nurse Practitioner",1
"MN","M.D.","Gastroenterology",1
"NY","","Psychiatry",0
"PA","CRNP","Nurse Practitioner",0
"NY","MD","Family Practice",1
"NY","M.D. ,PH.D.","Student in an Organized Health Care Education/Training Program",0
"NY","MD","Family Practice",0
"OH","DDS","Dentist",0
"UT","O.D, F.A.A.O.","Optometry",0
"IL","MD","Nephrology",1
"OH","M.D","Student in an Organized Health Care Education/Training Program",0
"NJ","M.D.","Internal Medicine",1
"CA","DNP","Nurse Practitioner",1
"PA","PA-C","Physician Assistant",1
"MN","C- NP","Nurse Practitioner",1
"MN","M.D.","Critical Care (Intensivists)",0
"OH","MD","Emergency Medicine",1
"MN","DO","Family Practice",1
"ME","D.M.D.","Dentist",0
"LA","M.D.","Family Practice",1
"GA","M.D.","Internal Medicine",1
"FL","MD","General Practice",1
"MD","CRNP PMH","Nurse Practitioner",0
"VA","P.A.","Physician Assistant",1
"WA","MD","Family Practice",1
"MO","DO","Internal Medicine",1
"OH","CNP","Nurse Practitioner",1
"CT","MD","Internal Medicine",0
"CA","MD","Internal Medicine",1
"NV","MD","Nephrology",0
"PA","PAC","Physician Assistant",0
"CA","NP","Nurse Practitioner",0
"UT","O.D.","Optometry",0
"MI","M.D.","Internal Medicine",0
"NY","MD","Urology",0
"SC","MD","Cardiology",0
"MD","M.D.","General Surgery",1
"TX","MD","Emergency Medicine",1
"NC","D.M.D.","Dentist",0
"SD","DDS","Dentist",0
"MN","D.D.S.","Dentist",0
"IA","M.D.","Orthopedic Surgery",1
"GA","RN, BSN, CRNA, MSN","Registered Nurse",0
"NJ","M.D.","Endocrinology",0
"NC","M.D.","Family Practice",1
"MI","DO","Family Practice",1
"CA","M.D.","Orthopedic Surgery",1
"TX","MD","Infectious Disease",1
"TX","","Dentist",0
"MA","M.D.","Internal Medicine",1
"TX","M.D.","Internal Medicine",1
"SD","D.O.","Psychiatry",1
"KY","M.D.","Emergency Medicine",1
"IL","D.O.","Thoracic Surgery",1
"CA","M.D","Emergency Medicine",1
"OH","D.D.S.","Dentist",0
"TX","MD","Family Practice",1
"TX","DDS","Dentist",1
"DE","PA-C","Physician Assistant",1
"NE","APRN, PHD.","Psychologist (billing independently)",0
"NY","M.D.","Family Practice",1
"PA","MD","Obstetrics/Gynecology",0
"GA","MD","Internal Medicine",1
"ID","NP","Nurse Practitioner",1
"NC","MD","General Practice",1
"SC","MD","Internal Medicine",1
"WI","DDS","Dentist",0
"IN","MD","Family Practice",1
"NC","M.D.","Orthopedic Surgery",1
"IN","MD","Family Practice",1
"NY","M.D.","Neurology",0
"NJ","DPM","Podiatry",0
"OK","O.D.","Optometry",0
"TX","MD","Ophthalmology",0
"NH","APRN","Nurse Practitioner",1
"KS","M.D.","Internal Medicine",1
"CA","MD","Cardiology",1
"SD","M.D.","Psychiatry",0
"WV","M.D.","Student in an Organized Health Care Education/Training Program",1
"KY","APRN","Nurse Practitioner",0
"IL","M.D.","Ophthalmology",0
"PA","CRNP","Nurse Practitioner",0
"OH","D.M.D.","Dentist",0
"AL","M.D.","Family Practice",1
"CA","N.P.","Psychiatry & Neurology",0
"CA","MD","Emergency Medicine",1
"MN","DO","Family Practice",0
"NJ","M.D.","Urology",1
"OK","D.D.S.","Dentist",1
"MA","M.D.","Internal Medicine",0
"AR","MD, MPH","Cardiology",0
"NY","MD","Internal Medicine",0
"MN","MD","Internal Medicine",0
"WI","PA-C","Physician Assistant",1
"WA","M.D.","Psychiatry",1
"DC","M.D.","Internal Medicine",1
"OH","DPM","Podiatry",1
"MI","D.P.M","Podiatry",1
"IL","MD","Endocrinology",0
"TX","M.D.","Orthopedic Surgery",1
"KY","M.D.","Physical Medicine and Rehabilitation",1
"MI","D.D.S.","Dentist",0
"FL","MD","Allergy/Immunology",0
"OH","M.D.","Gastroenterology",0
"AR","DDS","Dentist",1
"VA","M.D.,","Orthopedic Surgery",1
"CA","M.D.","Family Practice",1
"CO","","Nurse Practitioner",0
"MI","D.D.S","Dentist",0
"CA","D.D.S.","Dentist",0
"NJ","DMD","Dentist",0
"IN","M.D.","Family Practice",1
"MI","DDS","Dentist",0
"NC","FNP","Nurse Practitioner",0
"CA","MD","Psychiatry",0
"CO","MD","Psychiatry & Neurology",0
"PA","MD","Gynecological/Oncology",1
"AL","N.P.","Nurse Practitioner",0
"VT","C.N.M.","Certified Nurse Midwife",0
"MI","DDS","Dentist",0
"MD","P.A.-C","Physician Assistant",1
"CA","O.D.","Optometry",0
"OH","D.D.S.","Dentist",0
"IA","PA-C","Physician Assistant",1
"TX","M.D.","Urology",1
"MN","DNP, FNP-BC","Nurse Practitioner",1
"VA","FNP-BC","Nurse Practitioner",1
"WA","DDS","Dentist",1
"TX","D.O.","Family Practice",1
"MO","MD","Allergy/Immunology",0
"NJ","M.D.","Internal Medicine",1
"NJ","M.D.","Colorectal Surgery (formerly proctology)",1
"CA","MD","Ophthalmology",0
"MN","M.D.","Neurology",1
"FL","M.D.","Rheumatology",1
"CO","M.D.","Vascular Surgery",0
"OH","MD","Infectious Disease",1
"FL","D.O.","Family Practice",1
"MO","FNP","Nurse Practitioner",1
"TX","D.O.","Physical Medicine and Rehabilitation",1
"CA","M.D.","Pulmonary Disease",0
"CA","CNM","Midwife",0
"AZ","M.D.","Family Practice",1
"MI","P.A.","Physician Assistant",1
"MO","M.D.","Family Practice",1
"MS","M.D.","Pediatric Medicine",0
"CO","DMD","Dentist",1
"MN","F.N.P","Nurse Practitioner",1
"CA","M.D.","Internal Medicine",1
"NY","MD","Otolaryngology",0
"IL","PA-C","Physician Assistant",0
"CT","MD","Orthopedic Surgery",1
"CA","M.D.","Podiatry",0
"MD","M.D.","Gastroenterology",1
"NY","D.D.S.","Dentist",0
"NY","M.D.","Orthopedic Surgery",1
"WA","P.A.","Physician Assistant",0
"GA","M.D.","Internal Medicine",0
"GA","MD","Orthopedic Surgery",1
"NE","D.D.S.","Oral Surgery (dentists only)",1
"CO","MD","Family Practice",1
"NY","MD","Obstetrics/Gynecology",0
"SC","M.D.","Internal Medicine",1
"IN","M.D.","Family Practice",1
"MI","","Internal Medicine",0
"MS","MD","Internal Medicine",1
"GA","M.D.","Ophthalmology",0
"OR","MD","Neurology",1
"CA","MD","Internal Medicine",1
"GA","M.D.","Cardiology",0
"AZ","PA-C","Physician Assistant",0
"CA","MD","Internal Medicine",1
"CA","DO","Emergency Medicine",1
"CT","DMD","Dentist",0
"MA","PHARM.D.","Pharmacist",0
"CA","M.D","Specialist",1
"NJ","DMD","Oral Surgery (dentists only)",1
"CA","P.A.","Physician Assistant",1
"NC","DO","Psychiatry & Neurology",0
"FL","ARNP","Nurse Practitioner",0
"TX","MD","Family Practice",1
"LA","","Internal Medicine",0
"GA","M.D.","Medical Oncology",1
"OH","MD","Obstetrics/Gynecology",0
"MI","MD","Internal Medicine",1
"PA","DMD","Dentist",0
"NY","M.D","Student in an Organized Health Care Education/Training Program",0
"MD","MD","Internal Medicine",0
"FL","A.R.N.P.","Nurse Practitioner",1
"MI","M.D.","Emergency Medicine",1
"CO","PA-C","Physician Assistant",1
"MD","M.D.","Allergy/Immunology",0
"TX","MD","Endocrinology",0
"IL","MD","Orthopedic Surgery",1
"NJ","MD","Psychiatry",0
"NY","D.D.S.","Dentist",0
"MD","NP-C","Nurse Practitioner",1
"CA","MD","Otolaryngology",0
"SD","O.D.","Optometry",0
"IL","M.D.","Dermatology",0
"MO","DPM","Podiatry",1
"PA","M.D.","Gastroenterology",0
"UT","M.D.","Otolaryngology",1
"MN","M.D.","Emergency Medicine",1
"NC","MD","Pulmonary Disease",0
"WI","MD","Internal Medicine",1
"CA","M.D.","Emergency Medicine",1
"PA","MD","Emergency Medicine",1
"TN","D.D.S.","Dentist",1
"CA","DDS","Dentist",0
"CA","MD","Anesthesiology",0
"SC","MD","Orthopedic Surgery",1
"PA","MD","Internal Medicine",1
"FL","MD","Internal Medicine",1
"ME","FNP","Nurse Practitioner",1
"GA","M.D.","Urology",1
"TN","D.D.S.","Dentist",1
"PR","M.D.","General Practice",1
"GA","M.D.","Physical Medicine and Rehabilitation",1
"MI","MD","Psychiatry",0
"FL","O.D.","Optometry",0
"TX","M.D.","Physical Medicine and Rehabilitation",1
"TX","DO","Emergency Medicine",1
"CA","DO","Family Practice",1
"CA","M.D.","Psychiatry",0
"AZ","DDS","Dentist",1
"ID","M.D.","Internal Medicine",1
"TX","MD","Family Practice",0
"GA","M.D.","Cardiology",1
"IN","M.D.","Student in an Organized Health Care Education/Training Program",0
"VA","NP","Nurse Practitioner",1
"SC","M.D.","Obstetrics/Gynecology",1
"MN","","Family Practice",1
"AZ","M.D.","Preventive Medicine",1
"MA","DPM","Podiatry",1
"MA","","Student in an Organized Health Care Education/Training Program",1
"MI","MD","Pediatric Medicine",1
"SC","MD","Internal Medicine",1
"PA","DO","Emergency Medicine",1
"CO","D.O.","Gastroenterology",0
"FL","ARNP","Nurse Practitioner",0
"AR","M.D.","Psychiatry",1
"MN","D.D.S, M.S.","Dentist",1
"CA","MD","Geriatric Medicine",1
"TX","MD","Internal Medicine",1
"KS","MD","General Surgery",1
"NY","MD","Internal Medicine",1
"TX","DPM","Podiatry",1
"WA","PA-C","Physician Assistant",1
"IL","MD","Family Practice",1
"TN","M.D.","Emergency Medicine",1
"WI","M.D","Internal Medicine",1
"CA","RN","Registered Nurse",0
"IL","M.D.","Gastroenterology",0
"WA","ARNP","Nurse Practitioner",0
"FL","ARNP","Nurse Practitioner",0
"CA","PHARMD","Pharmacist",0
"PA","D.O.","Family Practice",1
"OH","MD","Internal Medicine",1
"GA","MD","Psychiatry",1
"NY","M.D.","Internal Medicine",0
"NY","M.D.","Anesthesiology",0
"PA","MD","Orthopedic Surgery",1
"FL","O.D.","Optometry",0
"NC","M.D.","Psychiatry",0
"FL","D.M.D.","Dentist",1
"NJ","M.D.","Endocrinology",0
"MS","M.D.","Infectious Disease",1
"WV","D.O.","Emergency Medicine",1
"CA","M.D.","General Surgery",1
"MA","M.D.","Internal Medicine",0
"VA","MD","Gastroenterology",0
"MI","M.D.","Psychiatry & Neurology",0
"NJ","DO","Otolaryngology",1
"MI","M.D.","Gastroenterology",1
"CA","D.D.S.","Dentist",0
"MD","M.D.","Ophthalmology",0
"NC","M.D.","Urology",1
"NE","MD","Cardiac Surgery",1
"MI","D.D.S.","Dentist",1
"AR","DDS","Dentist",1
"SC","M.D","Internal Medicine",0
"NY","M.D.","Family Practice",1
"MA","M.D.","Internal Medicine",1
"OH","CNP","Nurse Practitioner",1
"MA","","Nurse Practitioner",1
"FL","M.D.","Physical Medicine and Rehabilitation",1
"TN","MD","Internal Medicine",1
"CO","DDS","Dentist",1
"MT","MD","Urology",1
"IL","MD","Orthopedic Surgery",1
"NY","NP","Nurse Practitioner",0
"OH","M.D.","Family Practice",1
"NC","MD","Emergency Medicine",1
"MI","D.O.","Ophthalmology",0
"TX","DDS","Dentist",0
"MI","M.D.","Dermatology",0
"ID","PA-C","Physician Assistant",1
"TX","FNP","Nurse Practitioner",1
"FL","M.D.","Family Practice",1
"CA","MD","Internal Medicine",1
"CT","MD","Psychiatry & Neurology",0
"TX","M.D.","Internal Medicine",1
"CA","M.D.","Gastroenterology",1
"DE","M.D.","Psychiatry",1
"TX","O.D.","Optometry",0
"MI","DDS","Dentist",0
"CA","","Nurse Practitioner",1
"RI","MD","Family Practice",1
"NY","MD","Obstetrics/Gynecology",0
"PA","M.D.","Psychiatry & Neurology",0
"CA","D.D.S.","Dentist",1
"PA","DDS","Dentist",0
"CA","M.D.","Urology",1
"MI","MD","Gastroenterology",0
"WA","PA-C","Physician Assistant",1
"FL","P.A.","Nurse Practitioner",0
"MD","MD","Internal Medicine",1
"FL","M.D.","Neurology",0
"TX","DDS MS","Dentist",1
"CT","MD","Otolaryngology",1
"IN","MD","Internal Medicine",0
"NM","MD","Ophthalmology",0
"OH","DDS","Dentist",1
"NY","CNM","Certified Nurse Midwife",0
"WI","DDS","Dentist",1
"CA","M.D., MPH","Internal Medicine",1
"IL","","Internal Medicine",1
"CA","M.D.","Internal Medicine",1
"PR","","Cardiology",0
"CT","PAC","Physician Assistant",1
"NC","PA-C","Physician Assistant",1
"WV","M.D.","Internal Medicine",0
"CT","MD","Dermatology",1
"MD","P.A.-C","Physician Assistant",1
"DE","MD","Pulmonary Disease",0
"ME","PAC","Physician Assistant",1
"IL","DO","General Practice",1
"NV","DMD","Dentist",0
"CO","FNP","Nurse Practitioner",0
"FL","OD","Optometry",0
"MN","PMHNP","Nurse Practitioner",0
"WA","ARNP","Nurse Practitioner",0
"NC","M.D.","Student in an Organized Health Care Education/Training Program",1
"NV","PA-C","Physician Assistant",1
"MD","MD","Family Practice",0
"CO","DDS","Dentist",0
"FL","M.D.","Family Practice",1
"VA","M.D","Internal Medicine",1
"NC","DDS","Oral Surgery (dentists only)",1
"FL","M.D.","Family Practice",1
"NY","MD","Family Practice",0
"FL","MD","Internal Medicine",0
"IL","MD","Internal Medicine",0
"IL","MD","Obstetrics/Gynecology",0
"NJ","MD","Internal Medicine",0
"IL","MD","Gynecological/Oncology",1
"MO","DO","Anesthesiology",0
"CA","M.D.","Orthopedic Surgery",1
"AL","MD","Internal Medicine",1
"NC","PA-C","Physician Assistant",1
"OH","M.D.","Family Practice",1
"PA","CRNP","Nurse Practitioner",0
"CT","APRN","Nurse Practitioner",0
"LA","M.D.","Orthopedic Surgery",1
"MD","D.D.S","Dentist",0
"MO","MD","Internal Medicine",1
"WI","MD","Student in an Organized Health Care Education/Training Program",1
"SD","MD/PHD","Neurology",0
"CA","M.D.","Internal Medicine",0
"PA","MD","Ophthalmology",0
"SC","MD","Psychiatry",0
"NC","MD","Neurology",1
"IN","DO","Family Practice",0
"OH","MD","Neurology",0
"MI","O.D.","Optometry",0
"PA","MD","Internal Medicine",1
"IN","M.D.","Emergency Medicine",1
"MD","M.B.B.S","Student in an Organized Health Care Education/Training Program",1
"CA","M.D.","General Practice",0
"CA","DDS","Dentist",1
"NC","MD","Internal Medicine",1
"NC","D.O.","Internal Medicine",1
"CA","DDS","Dentist",0
"PA","MD","Physical Medicine and Rehabilitation",0
"NJ","DDS","Dentist",0
"FL","D.D.S.","Dentist",1
"WV","M.D.","Allergy/Immunology",1
"ME","DDS, MS, MSPH","Dentist",0
"ME","PA","Physician Assistant",1
"TN","FNP","Nurse Practitioner",0
"AR","MD","Emergency Medicine",1
"TX","MD","Internal Medicine",1
"NY","PHYSICIAN ASSISTANT","Physician Assistant",0
"VA","F.N.P.","Nurse Practitioner",1
"MO","M.D.","Student in an Organized Health Care Education/Training Program",1
"TX","DDS","Dentist",0
"RI","M.D.","Obstetrics/Gynecology",0
"OH","D.D.S.","Dentist",0
"MA","MD","Emergency Medicine",1
"NY","DPM","Podiatry",1
"NJ","MD","Internal Medicine",1
"FL","DDS","Dentist",1
"TX","M.D.","Critical Care (Intensivists)",1
"NY","M.D.","Orthopedic Surgery",1
"UT","M.D.","Emergency Medicine",1
"CA","","Nurse Practitioner",0
"MA","M.D.","Internal Medicine",1
"WA","DNP, ARNP","Nurse Practitioner",1
"NY","PA-C","Physician Assistant",0
"TX","M.D.","Neurology",1
"TX","","Emergency Medicine",1
"PA","MD","Internal Medicine",1
"UT","D.O.","Emergency Medicine",1
"NC","","Student in an Organized Health Care Education/Training Program",0
"GA","MD","Internal Medicine",0
"CA","M.D.","Rheumatology",1
"GA","M.D.","Plastic and Reconstructive Surgery",1
"CA","R.N.P.","Nurse Practitioner",1
"AR","M.D.","Family Practice",1
"WA","MD","Internal Medicine",0
"NJ","M.D.","Internal Medicine",0
"AZ","PA-C","Physician Assistant",1
"AZ","F.N.P.","Nurse Practitioner",0
"NC","MD","Obstetrics/Gynecology",0
"IL","MD","Medical Oncology",1
"CA","M.D.","Critical Care (Intensivists)",0
"WI","D.O.","Family Practice",0
"NY","DO","Family Practice",0
"FL","M.D.","Endocrinology",0
"VA","M.D.","Neurology",1
"WV","PA-C","Physician Assistant",1
"OR","DMD","Dentist",1
"CA","D.D.S.","Dentist",0
"MI","D.O.","Family Practice",1
"GA","MD","Family Practice",1
"NJ","D.D.S.","Dentist",1
"RI","PA-C","Physician Assistant",1
"NC","FNP","Nurse Practitioner",0
"CA","MD","Pulmonary Disease",0
"MD","MD","Infectious Disease",1
"NC","MD","Cardiology",0
"UT","MD","Geriatric Medicine",1
"NY","","Psychiatry",0
"CA","MD","Rheumatology",1
"FL","D.M.D.","Dentist",1
"IL","M.D.","Family Practice",1
"TN","PA","Physician Assistant",1
"NM","MD","Internal Medicine",1
"PA","MD","Ophthalmology",0
"CO","NP","Nurse Practitioner",0
"PR","D.M.D","Dentist",0
"CA","M.D.","Pediatric Medicine",0
"MO","M.D.","Emergency Medicine",1
"NY","MD","Internal Medicine",0
"CA","DPM","Podiatry",1
"LA","M.D.","Obstetrics/Gynecology",0
"FL","O.D.","Optometry",0
"IL","M.D.","Family Practice",0
"CO","DDS","Dentist",1
"LA","MD","Nephrology",1
"NC","M.D.","Cardiology",1
"MI","D.O.","Otolaryngology",1
"MO","MD","Pediatric Medicine",0
"LA","MD","Internal Medicine",1
"CO","","Emergency Medicine",0
"MI","M.D.","Psychiatry",0
"AZ","ANP","Nurse Practitioner",0
"KY","MD","Family Practice",1
"FL","PA-C","Physician Assistant",1
"MD","M.D.","Family Practice",1
"FL","P.A.","Physician Assistant",0
"IL","DMD","Oral Surgery (dentists only)",1
"CA","M.D.","Internal Medicine",1
"FL","MD","Internal Medicine",1
"NY","MD","Internal Medicine",1
"PA","M.D.","Family Practice",1
"VA","PA-C","Physician Assistant",1
"PA","CRNP","Nurse Practitioner",0
"FL","M.D.","Gastroenterology",0
"KY","MD","Dermatology",1
"TN","M.D.","Emergency Medicine",1
"MI","M.D.","Geriatric Medicine",1
"IA","D.O.","Emergency Medicine",1
"NJ","M.D.","Pulmonary Disease",0
"MO","","Family Practice",1
"NY","D.O.","Emergency Medicine",1
"PR","M.D.","General Practice",1
"LA","PA-C","Physician Assistant",1
"NC","M.D.","Internal Medicine",1
"OR","MD","Dermatology",0
"NY","FNP","Nurse Practitioner",1
"PA","D.M.D.","Dentist",0
"NV","DDS","Dentist",0
"CA","D.D.S.","Dentist",0
"NY","M.D","Orthopedic Surgery",1
"WI","NP","Nurse Practitioner",0
"PA","D.O.","Internal Medicine",0
"NY","O.D.","Optometry",0
"AK","PA-C","Physician Assistant",0
"NH","D.O.","Rheumatology",1
"PA","MD","Cardiology",1
"TN","M.D.","Pediatric Medicine",0
"FL","M.D.","Cardiology",0
"NJ","MD","Family Practice",1
"CA","MD","Family Practice",1
"MI","DDS","Dentist",1
"TX","M.D.","Family Practice",1
"TX","M.D.","Preventive Medicine",0
"MI","DDS","Dentist",0
"FL","M.D.","Medical Oncology",1
"FL","DO","Family Practice",1
"IL","DMD","Maxillofacial Surgery",1
"TX","MED, LPC","Counselor",0
"TX","","Student in an Organized Health Care Education/Training Program",1
"FL","M.D.","Family Practice",1
"TX","PA-C","Physician Assistant",0
"OK","DDS","Dentist",1
"KY","APRN","Nurse Practitioner",1
"NM","M.D.","Family Practice",1
"NY","O.D.","Optometry",0
"WA","ARNP","Nurse Practitioner",1
"AZ","M.D.","Cardiology",0
"WA","D.D.S.","Dentist",0
"ME","PA-C","Physician Assistant",1
"NE","PHYSICIAN ASST PA C","Physician Assistant",1
"MD","M.D.","Family Practice",1
"FL","NP-C","Nurse Practitioner",1
"CA","MD","Family Practice",1
"CA","M.D.","Family Practice",1
"TN","MD","General Surgery",1
"FL","MD","Student in an Organized Health Care Education/Training Program",1
"DC","M.D.","Internal Medicine",1
"FL","M.D.","Student in an Organized Health Care Education/Training Program",1
"MO","DDS","Dentist",0
"AL","DO","Nephrology",1
"SD","MD","Gastroenterology",0
"OR","M.D.","Interventional Pain Management",0
"TN","DDS","Dentist",0
"FL","MD","Internal Medicine",1
"OK","M.D.","Internal Medicine",1
"NJ","PA","Physician Assistant",0
"KY","MD","Ophthalmology",0
"FL","MD,PA","Vascular Surgery",1
"CA","M.D.","Ophthalmology",0
"MA","M.D.","Otolaryngology",0
"NE","DDS","Dentist",0
"NY","M.D.  MMSC.","Psychiatry & Neurology",0
"PA","M.D.","Gastroenterology",0
"MA","MD","Internal Medicine",1
"NC","M.D.","Internal Medicine",1
"MS","DMD","Dentist",1
"MI","DO","Family Practice",1
"MA","MD","Family Practice",1
"WY","DMD","Dentist",0
"NY","","Medical Oncology",1
"DE","M.D.","Pediatric Medicine",0
"IL","M.D.","Obstetrics/Gynecology",0
"CA","M.D.","Internal Medicine",1
"TX","M.D","Cardiology",0
"WV","CRNA","CRNA",0
"KS","M.D.","Pulmonary Disease",1
"MI","DO","Emergency Medicine",1
"NY","NP, MSN","Nurse Practitioner",0
"LA","M.D.","Pediatric Medicine",1
"OH","DPM","Podiatry",1
"IN","MD","Neurology",1
"PA","D.O.","Cardiology",0
"IL","M.D.","Internal Medicine",1
"CA","M.D.","Urology",1
"MI","MD","Internal Medicine",1
"OH","D.P.M.","Podiatry",0
"ID","PA","Physician Assistant",1
"PA","PA-C","Physician Assistant",0
"AL","MD","General Surgery",1
"KY","D.M.D.","Dentist",0
"WA","MD","Psychiatry",0
"MI","MD","Physical Medicine and Rehabilitation",1
"MD","DDS","Dentist",0
"NY","MD","Ophthalmology",0
"GA","MD","Surgery",0
"NY","MD","Cardiology",0
"TX","M.D.","Internal Medicine",0
"GA","M.D.","Family Practice",1
"MN","R.N., C.N.P.","Nurse Practitioner",0
"NY","M.D.","Family Practice",1
"IN","D.P.M.","Podiatry",1
"OH","MD","Internal Medicine",1
"UT","PA-C","Physician Assistant",1
"VA","PHD APN FNP-C","Nurse Practitioner",1
"TX","D.D.S.","Oral Surgery (dentists only)",1
"MA","M.D.","Internal Medicine",0
"NC","M.D.","Psychiatry",0
"LA","DDS","Dentist",0
"TX","MD","Ophthalmology",0
"NV","MD","Cardiology",0
"TX","M.D.","Family Practice",1
"NH","DO","Rheumatology",1
"CA","M.D.","Cardiology",0
"CA","M.D.","Internal Medicine",1
"TX","MD","Internal Medicine",1
"GA","M.D.","Orthopedic Surgery",1
"IN","MD","Ophthalmology",0
"DE","M.D.","Psychiatry",0
"MD","MD","Orthopedic Surgery",1
"PA","DO","Internal Medicine",1
"CA","PA-C","Physician Assistant",1
"WI","MD","Internal Medicine",1
"NJ","M.D.","Neurosurgery",0
"OK","MD","Anesthesiology",0
"NC","M.D.","Nephrology",1
"KS","M.D.","Internal Medicine",1
"OK","MD","Internal Medicine",0
"OH","D.M.D.","Dentist",1
"IN","PA-C","Physician Assistant",1
"DE","MBBS","Internal Medicine",0
"WA","PA-C","Physician Assistant",0
"FL","MD","Cardiology",0
"NC","O.D.","Optometry",0
"AL","DMD, MD","Oral Surgery (dentists only)",1
"NY","M.D.","Ophthalmology",0
"ME","M.D.","Internal Medicine",1
"NM","MD","Family Practice",1
"FL","O.D.","Optometry",0
"DE","D.O.","Student in an Organized Health Care Education/Training Program",1
"OH","MD","Urology",0
"NJ","DMD","Dentist",0
"NY","M.D.","Ophthalmology",0
"CA","DDS","Dentist",0
"NC","M.D.","Orthopedic Surgery",1
"FL","MD","Pulmonary Disease",0
"FL","M.D.","General Practice",1
"MI","M.D.","Family Practice",1
"MA","MD","Internal Medicine",1
"LA","MD","Family Practice",1
"MD","C.R.N.P.","Nurse Practitioner",0
"NJ","O.D.","Optometry",0
"CA","M.D.","Dermatology",0
"PA","DO","Family Practice",1
"NE","MD","General Practice",1
"MN","FNP","Nurse Practitioner",1
"WV","FNP BC","Nurse Practitioner",1
"NC","M.D.","Internal Medicine",1
"MO","M.D.","Endocrinology",0
"CA","M.D.","Orthopedic Surgery",1
"CA","PA-C","Physician Assistant",1
"GA","MD","Family Practice",1
"VA","M.D.","Neurology",1
"NY","MD","Cardiology",0
"LA","M.D.","Orthopedic Surgery",1
"PA","PA-C","Physician Assistant",0
"WI","NP","Nurse Practitioner",1
"CA","NP","Registered Nurse",0
"NY","","Internal Medicine",1
"IN","M.D.","Family Practice",0
"WA","PA","Physician Assistant",1
"TX","D.O.","Psychiatry",0
"TN","D.D.S","Dentist",0
"WA","M.D.","Internal Medicine",1
"MA","PA","Physician Assistant",1
"IL","MD","Gastroenterology",0
"FL","DMD","Dentist",0
"MD","M.D.","Internal Medicine",1
"CO","O.D.","Optometry",0
"CA","DDS, MSD","Dentist",1
"MN","M.D.","Internal Medicine",0
"WV","CFNP","Nurse Practitioner",0
"NY","MD","Pain Management",1
"CA","M.D.","Pain Management",1
"MO","MD","Sleep Medicine",0
"CA","MD","Internal Medicine",1
"TN","DMD","Dentist",0
"LA","MBBS","Internal Medicine",0
"WA","PA","Physician Assistant",1
"PA","MD","Family Practice",1
"KY","D.M.D.","Dentist",0
"PR","MD","Diagnostic Radiology",0
"IL","M.D.","Emergency Medicine",1
"NC","M.D.","Internal Medicine",1
"CA","M.D.","Family Practice",1
"GA","M.D.","Pediatric Medicine",0
"FL","M.D.PA","Internal Medicine",1
"NC","M.D.","Family Practice",1
"FL","M.D.","Neurology",0
"CA","D.D.S.","Dentist",0
"OR","MD","Family Practice",1
"FL","MD","Ophthalmology",0
"MA","N.P.","Nurse Practitioner",1
"KY","D.M.D.","Oral Surgery (dentists only)",1
"WI","PA-C","Physician Assistant",1
"TX","M.D.","Family Practice",1
"OH","PAC","Physician Assistant",1
"IN","PA","Physician Assistant",1
"WA","DPM","Podiatry",1
"TX","MD","Internal Medicine",1
"TN","DDS","Dentist",1
"AZ","","Dentist",1
"IL","M.D.","Emergency Medicine",1
"PA","MD","Vascular Surgery",1
"AZ","DMD","Dentist",0
"FL","M.D.","Internal Medicine",0
"PA","","Nurse Practitioner",1
"MD","D.P.M.","Podiatry",0
"MA","M.D.","Cardiology",0
"FL","MD","Ophthalmology",0
"MI","MD","Ophthalmology",0
"MA","M.D.","Infectious Disease",0
"KY","M.D.","Neurology",1
